directorio,secuencia_p,orden,age,parentesco,p6210,other_job,sex,estrato1,cotPension,regSalud,cuentaPropia,formal,hoursWorkUsual,ocu,oficio,firm_time,sizeFirm,wage,iof1,iof2,iof6,age2,ln_wage
4514476,1,1,42,1,4,2,1,1,2,,1,0,48,1,51,14,1,,0,0,0,1764,
4514476,1,2,18,3,5,2,1,1,1,1,0,1,54,1,89,4,2,3187.666015625,0,0,0,324,8.06704427144373
4514477,1,2,27,3,5,2,0,2,1,1,0,1,48,1,79,5,5,3586.12426757812,0,0,0,729,8.18482730710011
4514477,1,1,52,1,6,2,0,2,1,1,0,1,48,1,59,264,5,4861.111328125,0,0,0,2704,8.4890223590924
4514478,1,1,64,1,4,2,1,1,2,3,1,0,40,1,45,48,1,,0,0,0,4096,
4514479,1,1,55,1,5,2,0,2,2,2,0,0,48,1,54,84,1,1215.27783203125,0,0,0,3025,7.10272799797251
4514480,1,1,37,1,6,2,1,2,1,1,0,1,48,1,19,12,5,6319.4443359375,0,0,0,1369,8.7513865617467
4514480,1,2,46,2,6,2,0,2,1,1,1,1,48,1,54,60,1,,0,0,650000,2116,
4514481,1,1,63,1,3,2,1,1,1,1,0,1,48,1,83,176,5,3888.88891601562,0,0,0,3969,8.26587877011078
4514483,1,1,49,1,3,2,0,2,2,1,0,0,30,1,54,2,1,4666.66650390625,0,0,0,2401,8.44820028505205
4514483,1,2,22,3,5,2,1,2,2,3,0,0,48,1,59,0,3,4131.9443359375,0,0,0,484,8.32650335869126
4514484,1,3,44,3,6,2,1,2,1,1,0,1,48,1,36,36,5,4375,0,0,0,1936,8.38366179879172
4514485,1,3,23,3,5,2,1,1,1,1,0,1,48,1,39,7,5,3586.12426757812,0,0,0,529,8.18482730710011
4514485,1,2,28,2,3,2,1,1,2,3,0,0,60,1,39,6,5,2722.22216796875,0,0,0,784,7.90920379926675
4514488,1,1,41,1,4,2,1,1,1,1,0,1,48,1,58,48,4,3586.12426757812,0,0,0,1681,8.18482730710011
4514489,1,1,45,1,5,2,1,2,1,1,0,1,48,1,98,360,5,4375,0,0,0,2025,8.38366179879172
4514489,1,2,44,2,5,2,0,2,1,1,0,1,45,1,32,300,2,4511.111328125,0,0,0,1936,8.41429881636013
