directorio,secuencia_p,orden,age,parentesco,p6210,other_job,sex,estrato1,cotPension,regSalud,cuentaPropia,formal,hoursWorkUsual,ocu,oficio,firm_time,sizeFirm,wage,iof1,iof2,iof6
4514538,1,1,54,1,4,2,1,2,1,1,0,1,48,1,97,24,3,3586.12426757812,0,0,0
4514542,1,4,23,3,6,2,1,4,1,1,0,1,48,1,42,24,5,9722.22265625,0,0,0
4514542,1,3,27,3,6,2,1,4,1,1,1,1,48,1,2,6,5,18043.5381379851,0,0,0
4514549,1,1,57,1,5,2,1,2,2,3,0,0,40,1,45,60,2,4666.66650390625,0,0,550000
4514565,1,1,35,1,6,2,0,2,1,1,1,1,60,1,87,60,4,2538.34298170947,0,0,0
4521221,1,1,33,1,6,2,0,5,1,1,0,1,32,1,6,48,5,72916.6640625,0,0,0
4521222,1,2,63,2,5,2,1,3,2,2,0,0,40,1,98,48,1,3500,0,0,0
4521223,1,1,41,1,6,2,1,5,1,1,0,1,48,1,21,136,5,77777.78125,0,0,4e+06
4521223,1,2,38,2,6,2,0,5,1,1,0,1,48,1,30,24,5,41319.4453125,0,0,0
4521225,1,3,28,3,6,2,1,5,1,1,1,1,40,1,58,3,5,29809.2582105499,0,0,2300000
4521226,1,2,45,3,5,2,1,3,1,1,1,1,45,1,13,10,5,13898.2859371932,0,0,0
4521227,1,1,60,1,6,2,1,5,1,1,0,1,48,1,21,48,5,25318.2439573125,0,0,0
4521228,1,1,49,1,4,2,0,3,2,3,0,0,48,1,54,1,1,4375,0,0,0
4521229,1,1,54,1,6,2,1,3,1,1,0,1,48,1,3,3,5,9722.22265625,0,0,0
4521229,1,3,27,3,6,2,1,3,1,1,0,1,50,1,2,12,4,5600,0,0,0
4521231,1,1,47,1,3,2,1,3,1,1,0,1,48,1,93,48,4,3586.12426757812,0,0,0
4521231,1,3,24,3,6,2,0,3,1,1,0,1,48,1,19,4,4,5347.22216796875,0,0,0
4521232,1,2,62,2,3,2,1,2,1,1,0,1,48,1,81,480,5,4375,0,0,0
4521232,1,3,44,3,5,2,1,2,1,1,0,1,60,1,98,11,4,4355.5556640625,0,0,0
4521233,1,2,42,3,6,2,1,3,1,1,0,1,48,1,21,8,5,10694.4443359375,0,0,0
4521234,1,1,63,1,3,2,1,2,1,1,0,1,48,1,58,360,5,3586.12426757812,0,0,350000
4521234,1,3,33,3,6,2,0,2,1,1,0,1,48,1,11,144,4,4861.111328125,0,0,0
4521236,1,1,34,1,6,2,1,3,1,1,1,1,40,1,8,60,4,19294.4436824823,0,0,1e+06
4521236,1,2,34,2,6,2,0,3,1,1,1,1,20,1,8,69,4,14983.9391458408,0,0,0
